ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 36;cg.C;cg.cpp:602-603;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;56.565002441406;56.681297302246;86.430725097656;1.00;1.00;1.50;1.80;1;42.86;50.00;9.00;9.00;9.00;6.00;5.00
Loop 35;cg.C;cg.cpp:595-597,cg.cpp:600-605;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);InBetween;2.7249999046326;2.7019762992859;4.1201205253601;1.35;1.04;1.50;3.50;16;17.65;30.88;17.50;13.00;16.88;11.69;5.00
Loop 31;cg.C;cg.cpp:682-683;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;2.2899997234344;2.2855155467987;3.4850783348083;1.00;1.00;1.50;1.80;1;42.86;50.00;9.00;9.00;9.00;6.00;5.00
Loop 56;cg.C;cg.cpp:843-843,stl_algo.h:1877-1877;void std::__introsort_loop<__gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::TripletLess> >(__gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, __gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::TripletLess>) [clone .isra.0];Innermost;0.75500005483627;0.37882861495018;0.57765847444534;1.00;1.00;8.00;1.25;2;0.00;15.63;1.25;1.25;1.25;0.16;1.00
Loop 57;cg.C;cg.cpp:843-843,stl_algo.h:1880-1880;void std::__introsort_loop<__gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::TripletLess> >(__gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, __gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::TripletLess>) [clone .isra.0];Innermost;0.68000000715256;0.34119662642479;0.52027517557144;1.00;1.00;8.00;1.00;2;0.00;15.63;1.25;1.25;1.25;0.16;1.25
Loop 58;cg.C;cg.cpp:843-843,move.h:197-199,stl_iterator.h:1111-1112,stl_iterator.h:1125-1125,stl_algo.h:1877-1877,stl_algo.h:1882-1882;void std::__introsort_loop<__gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::TripletLess> >(__gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, __gnu_cxx::__normal_iterator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet*, std::vector<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet, std::allocator<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::Triplet> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double)::TripletLess>) [clone .isra.0];InBetween;0.64500004053116;0.32363501191139;0.49349629878998;1.32;1.00;3.96;3.96;4;25.00;26.56;3.96;3.00;3.96;1.00;1.00
Loop 61;cg.C;cg.cpp:880-890,new_allocator.h:191-191,stl_vector.h:1283-1292;sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double) [clone ._omp_fn.1];Innermost;0.27000001072884;0.22077429294586;0.33664864301682;2.00;1.42;5.86;3.20;6;10.00;23.28;8.00;4.00;5.63;1.36;2.50
Loop 33;cg.C;cg.cpp:635-636,cg.cpp:644-644;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.125;0.12293114513159;0.18745209276676;1.00;1.00;1.00;1.00;1;100.00;100.00;5.00;5.00;5.00;5.00;5.00
Loop 30;cg.C;cg.cpp:675-677,cg.cpp:680-685;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.12999999523163;0.12042234092951;0.18362653255463;1.33;1.04;1.49;3.60;16;17.31;30.77;18.00;13.50;17.38;12.06;5.00
Loop 13;cg.C;cg.cpp:843-843,stl_algo.h:1799-1801;main;Innermost;0.21500000357628;0.10787834972143;0.16449877619743;1.42;1.00;2.83;1.42;2;50.00;32.81;1.42;1.00;1.42;0.50;1.00
